Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
33,"FC Galdi, AB Lopes","Limits to arbitrage and value investing: Evidence from Brazil",2013,"Latin American Business Review","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/10978526.2013.808943","https://scholar.google.com/scholar?cites=4876008944925299074&as_sdt=2005&sciodt=2007&hl=en",1,"2025-05-17 18:25:39","","10.1080/10978526.2013.808943","","",,,,,33,2.75,17,2,12,"… Neste artigo, o Brasil foi investigado como um caso especial e os testes padrão mostram a … were considered “big-sized” firms for the Brazilian market). From 1994 to 2006, 54 new firms …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=1099524","https://scholar.google.com/scholar?q=related:glHmG00Qq0MJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
32,"CM Cupertino, AL Martinez…","Accrual anomaly in the Brazilian capital market",2012,"BAR-Brazilian …","SciELO Brasil","https://www.scielo.br/j/bar/a/tQ96hjcxNkjzwPBRhvqfbvn/?format=html&lang=en","https://scholar.google.com/scholar?cites=14583368084952362812&as_sdt=2005&sciodt=2007&hl=en",27,"2025-05-17 18:25:39","HTML","","","",,,,,32,2.46,11,3,13,"… known as accrual anomaly in Brazil. In particular, we … is not mispriced by the Brazilian market, and that a trading … consistently positive returns in the Brazilian market, we distributed the …","https://www.scielo.br/j/bar/a/tQ96hjcxNkjzwPBRhvqfbvn/?format=html&lang=en","https://scholar.google.com/scholar?q=related:PK9a3AGIYsoJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
26,"P Holloway, R Rochman, M Laes","Factors influencing Brazilian value investing portfolios",2013,"Journal of Economics Finance and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S207718861370026X","https://scholar.google.com/scholar?cites=634413727806906076&as_sdt=2005&sciodt=2007&hl=en",19,"2025-05-17 18:25:39","","","","",,,,,26,2.17,9,3,12,"… value investing in Brazil, analyzing the Brazilian funds that adopt this philosophy. The goal is to identify some of the factors that influence the decisions of value investing … valor en Brasil, …","https://www.sciencedirect.com/science/article/pii/S207718861370026X/pdf?md5=a886095bcf9e7ea01b8671ada1981f51&pid=1-s2.0-S207718861370026X-main.pdf&_valck=1","https://scholar.google.com/scholar?q=related:3N6PluzjzQgJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
19,"AW Villaschi, FC Galdi, SN NOSSA","Análise fundamentalista para seleção de uma carteira de investimento em ações com baixa razão book-to-market",2011,"Base Revista de Administração e …","redalyc.org","https://www.redalyc.org/pdf/3372/337228648006.pdf","https://scholar.google.com/scholar?cites=12086948234803448294&as_sdt=2005&sciodt=2007&hl=en",40,"2025-05-17 18:25:39","PDF","","","",,,,,19,1.36,6,3,14,"… que a eficiência de mercado no Brasil é inferior à dos Estados Unidos. O mercado de capitais … Value investing: the use of historical financial statement information to separate winners …","https://www.redalyc.org/pdf/3372/337228648006.pdf","https://scholar.google.com/scholar?q=related:5on-UWF3vacJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
17,"FC Galdi, VSM Lima","Value &Growth Investing e Pead PEAD no Brasil",2016,"Brazilian Review of Finance","periodicos.fgv.br","https://periodicos.fgv.br/rbfin/article/view/56744","https://scholar.google.com/scholar?cites=11483781278837765597&as_sdt=2005&sciodt=2007&hl=en",6,"2025-05-17 18:25:39","","","","",,,,,17,1.89,9,2,9,"… investigates whether stock picking considering post-earnings announcement drift (PEAD) together with financial statement analysis improve portfolio returns in the Brazilian market. The …","https://periodicos.fgv.br/rbfin/article/download/56744/67894","https://scholar.google.com/scholar?q=related:3fVnuzqWXp8J:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
16,"LR Santos, RMS Montezano","Value and growth stocks in Brazil: risks and returns for one-and two-dimensional portfolios under different economic conditions",2011,"Revista Contabilidade &Finanças","SciELO Brasil","https://www.scielo.br/j/rcf/a/VFWS5chLvgFsVf87s9bZr4c/?lang=en","https://scholar.google.com/scholar?cites=1497688015372909242&as_sdt=2005&sciodt=2007&hl=en",13,"2025-05-17 18:25:39","HTML","","","",,,,,16,1.14,8,2,14,"… a method not previously tested on the Brazilian market. We build portfolios sorted by the price-to… Our results confirm the copious previous research on Value Investing's risks and returns. …","https://www.scielo.br/j/rcf/a/VFWS5chLvgFsVf87s9bZr4c/?lang=en","https://scholar.google.com/scholar?q=related:unqpnFDbyBQJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
15,"V Palazzo, JRF Savoia, JR Securato…","Análise de carteiras de valor no mercado brasileiro",2018,"Revista Contabilidade …","SciELO Brasil","https://www.scielo.br/j/rcf/a/xNKjmWngqp9qVDYs3mQNPBG/?lang=pt","https://scholar.google.com/scholar?cites=14872102422364874926&as_sdt=2005&sciodt=2007&hl=en",10,"2025-05-17 18:25:39","HTML","","","",,,,,15,2.14,4,4,7,"… tested a value investing strategy for the Brazilian market, … model for selecting stocks in the Brazilian market, (ii) tiering of … for a value investing portfolio in the Brazilian market for the …","https://www.scielo.br/j/rcf/a/xNKjmWngqp9qVDYs3mQNPBG/?lang=pt","https://scholar.google.com/scholar?q=related:ruhIfFtSZM4J:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
10,"V Palazzo, JRF Savoia, JR Securato…","Analysis of value portfolios in the Brazilian market",2018,"Revista Contabilidade …","SciELO Brasil","https://www.scielo.br/j/rcf/a/xNKjmWngqp9qVDYs3mQNPBG/?lang=en&format=html","https://scholar.google.com/scholar?cites=2711662414282208155&as_sdt=2005&sciodt=2007&hl=en",2,"2025-05-17 18:25:39","HTML","","","",,,,,10,1.43,3,4,7,"… tested a value investing strategy for the Brazilian market, … model for selecting stocks in the Brazilian market, (ii) tiering of … for a value investing portfolio in the Brazilian market for the …","https://www.scielo.br/j/rcf/a/xNKjmWngqp9qVDYs3mQNPBG/?lang=en&format=html","https://scholar.google.com/scholar?q=related:m7MRSpnCoSUJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
8,"RGD Zeidler","Eficiência da magic formula de value investing no mercado brasileiro",2014,"","sbfin.org.br","https://sbfin.org.br/files/investimentos-artigo-xv-ebfin-5002.pdf","https://scholar.google.com/scholar?cites=11527857731119577423&as_sdt=2005&sciodt=2007&hl=en",5,"2025-05-17 18:25:39","PDF","","","",,,,,8,0.73,8,1,11,"… Efficient Market Hypothesis in the Brazilian market. The Magic … using historical public data in Brazil. This is a violation of the … sobre eficiência de mercado no Brasil, incluindo uma revisão …","https://sbfin.org.br/files/investimentos-artigo-xv-ebfin-5002.pdf","https://scholar.google.com/scholar?q=related:T3mffIct-58J:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
8,"SN Nossa, AB Lopes, A Teixeira","Stock repurchases and fundamental analysis: an empirical study of the brazilian market in the period from 1994 to 2006",2010,"Brazilian Business Review","bbronline.com.br","https://bbronline.com.br/index.php/bbr/article/view/346","https://scholar.google.com/scholar?cites=9161353233059430343&as_sdt=2005&sciodt=2007&hl=en",28,"2025-05-17 18:25:39","","","","",,,,,8,0.53,3,3,15,"This study examines whether there is a relation between stock repurchase announcements and abnormal returns of companies classified as winners and losers. The classification as …","https://bbronline.com.br/index.php/bbr/article/download/346/524","https://scholar.google.com/scholar?q=related:xz9i_jmqI38J:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
